alias,canonico
TALLER EXTERNO TECNOVIAL VALENCIA,Taller Externo Tecnovial Valencia
TALLER FLOTA,Taller Flota
TALLER GLOBAL SERVI J C.A,Taller Global Servi J C.A
TALLER GLOBAL SERVIC PUERTO LA CRUZ,Taller Global Servic Puerto La Cruz
TALLER GLOBAL SERVICE,Taller Global Service
"TALLER GRUPO DE EMPRESA ATEF NEMER , MUNICIPIO BARINAS  EDO BARINAS","Taller Grupo De Empresa Atef Nemer , Municipio Barinas  Edo Barinas"
TALLER GURI,Taller Guri
"TALLER HERNÁN IZARRA, BOCONOITO EDO PORTUGUESA","Taller Hernán Izarra, Boconoito Edo Portuguesa"
TALLER HL PUERTO LA CRUZ,Taller Hl Puerto La Cruz
TALLER INTERNO SANTA TERESA III,Taller Interno Santa Teresa Iii
TALLER JIM TIRE,Taller Jim Tire
TALLER JIM TIRES CA,Taller Jim Tires Ca
"TALLER JIM TIRES CA,  EDO MIRANDA","Taller Jim Tires Ca,  Edo Miranda"
TALLER K&JD,Taller K&Jd
TALLER LOS CORTIJOS,Taller Los Cortijos
"TALLER LUIS POLANCO , UBICADO  AV CODAZZI DETRAS DEL AEROPUERTO, MUNICIPIO BARINAS, EDO BARINAS","Taller Luis Polanco , Ubicado  Av Codazzi Detras Del Aeropuerto, Municipio Barinas, Edo Barinas"
TALLER MARACAY BARINAS,Taller Maracay Barinas
TALLER MARACAY BARINAS C.A.,Taller Maracay Barinas C.A.
"TALLER MARACAY, UBICADO EN LA AVENIDA  CUATRICENTENARIA , AL LADO DE FARMATODO , MUNICIPIO BARINAS, EDO BARINAS","Taller Maracay, Ubicado En La Avenida  Cuatricentenaria , Al Lado De Farmatodo , Municipio Barinas, Edo Barinas"
TALLER MARTÍNEZ FULLSERVICE,Taller Martínez Fullservice
TALLER MECANICO EL COCO,Taller Mecanico El Coco
TALLER MECANICO FERMIN,Taller Mecanico Fermin
TALLER MECANICO GURI,Taller Mecanico Guri
TALLER MECANICO SIMON R,Taller Mecanico Simon R
TALLER MECÁNICO GURI,Taller Mecánico Guri
TALLER MECÁNICO MACAGUA,Taller Mecánico Macagua
"TALLER MONTANA, CARACAS","Taller Montana, Caracas"
TALLER MULTISERVCIOS PALO NEGRO,Taller Multiservcios Palo Negro
TALLER MULTISERVICIOS PALO NEGRO,Taller Multiservicios Palo Negro
TALLER MULTISERVICIOS RNB,Taller Multiservicios Rnb
TALLER OLYMPUS,Taller Olympus
TALLER QUINTA CRESPO,Taller Quinta Crespo
TALLER SAFE BLINDAJES CA,Taller Safe Blindajes Ca
TALLER SERLINE,Taller Serline
TALLER SERVI-HOGAR BARINAS,Taller Servi-Hogar Barinas
TALLER SERVICIOS GENERALES,Taller Servicios Generales
TALLER TRANSPORTE Y MATERIALES OLIMPUS ZYE,Taller Transporte Y Materiales Olimpus Zye
"TALLER TRNASPORTES Y MATERIALES OLIMPUS ZYE, C.A.","Taller Trnasportes Y Materiales Olimpus Zye, C.A."
"TALLER Y SUMINISTROS REYES,C.A","Taller Y Suministros Reyes,C.A"
TALLERES DE LA ALCALDIA DE PAEZ. G-200027304. ACARIGUA ESTADO PORTUGUESA.,Talleres De La Alcaldia De Paez. G-200027304. Acarigua Estado Portuguesa.
TECNOVIAL ( SAN DIEGO-ESO CARABOBO),Tecnovial ( San Diego-Eso Carabobo)
TEJERIAS,Tejerias
TEMBLADOR,Temblador
TERMOZULIA,Termozulia
TIMOTES,Timotes
TOCOMA,Tocoma
TORRE 4 / CARABOBO,Torre 4 / Carabobo
TORRE EL  MARQUES,Torre El  Marques
TORRE EL MARQUES,Torre El Marques
TORRE EL MARQUÉS,Torre El Marqués
TORRE GENERAL,Torre General
TORRE LAS MERCEDES,Torre Las Mercedes
TORRE OLYMPIA,Torre Olympia
TORRE SAN BERNARDINO,Torre San Bernardino
TOVAR,Tovar
TOVAR CARRERA 3 CON AV CRISTOBAL,Tovar Carrera 3 Con Av Cristobal
TOVAR CARRERA 3 CON AV. CRISTOBAL,Tovar Carrera 3 Con Av. Cristobal
TRANSMISION,Transmision
TRASPORTE,Trasporte
TRUJILLO,Trujillo
TUCUPIDO,Tucupido
TUMERO,Tumero
TURBO GAS,Turbo Gas
TURMERO,Turmero
Taller Camachito Altagracia de Orituco Estado Guarico,Taller Camachito Altagracia De Orituco Estado Guarico
Taller Central San Juan de los Morros Estado Guarico,Taller Central San Juan De Los Morros Estado Guarico
Taller Global Servicio J Lechería Estado Anzoátegui,Taller Global Servicio J Lechería Estado Anzoátegui
Taller Multiservicios El Negro MSN San Juan de los Morros Estado Guarico,Taller Multiservicios El Negro Msn San Juan De Los Morros Estado Guarico
Taller Servicios Generales,Taller Servicios Generales
Taller Suramérica C.A Estado Anzoátegui,Taller Suramérica C.A Estado Anzoátegui
Taller Toyota E R.R.Q.F.P Calabozo Estado Guarico,Taller Toyota E R.R.Q.F.P Calabozo Estado Guarico
Taller de Flota Lara,Taller De Flota Lara
Taller de Servicios Integrales RE,Taller De Servicios Integrales Re
Turbo Gas,Turbo Gas
U.E. CUBA,U.E. Cuba
U.R.E.E. CUMANA,U.R.E.E. Cumana
UNARE,Unare
UNECUBA,Unecuba
"UNECUBA, SE ENCUNTRA  CIUDAD DE CARACAS","Unecuba, Se Encuntra  Ciudad De Caracas"
UNEXEE,Unexee
UPATA,Upata
URB BELEZANTE CALLE LA MATICA,Urb Belezante Calle La Matica
URB. BELEZANTE CALLE LA MATICA,Urb. Belezante Calle La Matica
URBANIZACION BELEZANTE CALLE LA MATICA,Urbanizacion Belezante Calle La Matica
URIBANTE CAPARO,Uribante Caparo
VALENCIA,Valencia
VALENCIA NORTE,Valencia Norte
VALENCIA SUR,Valencia Sur
VALERA,Valera
VALERA 1,Valera 1
VALERA-ZONAS FORANEAS,Valera-Zonas Foraneas
VALERA/ALMACEN,Valera/Almacen
VALLE DE LA PASCUA,Valle De La Pascua
VARGAS,Vargas
VEHICULO FUE DESINCORPORADO CON EL No. DE SUDEBIP 51,Vehiculo Fue Desincorporado Con El No. De Sudebip 51
VICT0RIA,Vict0Ria
Valle de la Pascua,Valle De La Pascua
Vargas,Vargas
WORKSHOP PARAGUANA (PUNTO FIJO),Workshop Paraguana (Punto Fijo)
YAGUARA,Yaguara
YARITAGUA,Yaritagua
YARITAGUA ZONA,Yaritagua Zona
ZARAZA,Zaraza
ZONA 7,Zona 7
ZONA FRANCA PUNTO FIJO,Zona Franca Punto Fijo
ZONA INDUSTRIAL LOS CUROS,Zona Industrial Los Curos
ZONA IV,Zona Iv
ZULIA,Zulia
Zona del Vigia KM 17,Zona Del Vigia Km 17
servicios generales,Servicios Generales
✅ TALLER EXTERNO DISTRIBUIDORA HL,✅ Taller Externo Distribuidora Hl
SEDE OPERATIVA DE CORPOELEC,Sede Operativa De La Corporacion
GALPON DE DISTRITO CORPOELEC TUCUPITA DELTA AMACURO,Galpon De Distrito Tucupita Delta Amacuro
EDIFICIO SEDE DE CORPOELEC,Edificio Sede De La Corporacion
SEDE OPERATIVA DE CORPOELEC LA PLANTA,Sede Operativa La Planta
TALLER DE CORPOELEC,Taller De La Corporacion
EDIFICIO DE SEDE DE COPOELEC,Edificio De Sede Corporativa
EDIFICIO SEDE CORPOELEC BARINAS,Edificio Sede Corporacion Barinas
MODULO CASACOIMA CORPOELEC TUCUPITA DELTA AMACURO,Modulo Casacoima Tucupita Delta Amacuro
TALLER CORPOELEC C/S CHACAO (CCS),Taller C/S Chacao (Ccs)

