alias,canonico
GERENCIA GENERAL FAUREE AMAZONAS,GERENCIA GENERAL FAUREE AMAZONAS
GERENCIA GENERAL GENERACION AMAZONAS,GERENCIA GENERAL GENERACION AMAZONAS
GERENCIA GENERAL PREVENCION Y PROTECCION,GERENCIA GENERAL PREVENCION Y PROTECCION
GERENCIA GENERAL PROGRAMACION CONTROL VEGETACION,GERENCIA GENERAL PROGRAMACION CONTROL VEGETACION
GERENCIA GENERAL PROYECTOS MAYORES,GERENCIA GENERAL PROYECTOS MAYORES
GERENCIA GENERAL TERRITORIA AMAZONAS,GERENCIA GENERAL TERRITORIA AMAZONAS
GERENCIA GENERAL TERRITORIAL AMAZONAS,GERENCIA GENERAL TERRITORIAL AMAZONAS
GERENCIA GENERAL TRANSMISION AMAZONAS,GERENCIA GENERAL TRANSMISION AMAZONAS
GERENCIA GENERALL DE PROYECTOS ESPECIALES DEL SEN,GERENCIA GENERALL DE PROYECTOS ESPECIALES DEL SEN
GERENCIA GENERALL DE TRANSMISION,GERENCIA GENERALL DE TRANSMISION
GERENCIA NACIONA DE SERVICIOS DE TRANSPORTE,GERENCIA NACIONA DE SERVICIOS DE TRANSPORTE
GERENCIA NACIONAL DE BIENES,GERENCIA NACIONAL DE BIENES
GERENCIA NACIONAL DE EVALUACION DE EMERGENCIAS,GERENCIA NACIONAL DE EVALUACION DE EMERGENCIAS
GERENCIA NACIONAL DE RECUPERACION DE TRANSFORMADORES DE DISTRIBUCION,GERENCIA NACIONAL DE RECUPERACION DE TRANSFORMADORES DE DISTRIBUCION
GERENCIA NACIONAL DE SERVICIO DE TRANSPORTE,GERENCIA NACIONAL DE SERVICIO DE TRANSPORTE
GERENCIA NACIONAL DE SERVICIOS DE TRANSPORTE,GERENCIA NACIONAL DE SERVICIOS DE TRANSPORTE
GERENCIA NACIONAL DE SERVICIOS DE TRASPORTE,GERENCIA NACIONAL DE SERVICIOS DE TRASPORTE
GERENCIA NACIONAL DE TRANSFORMADORES,GERENCIA NACIONAL DE TRANSFORMADORES
GERENCIA NACIONAL DE TRANSPORTE,GERENCIA NACIONAL DE TRANSPORTE
GERENCIA RECUPERACION DE TRANSFORMADORES,GERENCIA RECUPERACION DE TRANSFORMADORES
GERENCIA RECUPERACION DE TRANSFORMADORES Y REACTANCIAS,GERENCIA RECUPERACION DE TRANSFORMADORES Y REACTANCIAS
GERENCIA REGIONAL,GERENCIA REGIONAL
GERENCIA REGIONAL BIENES Y SERVICIOS CAPITAL,GERENCIA REGIONAL BIENES Y SERVICIOS CAPITAL
GERENCIA REGIONAL DE ASESORIA LEGAL,GERENCIA REGIONAL DE ASESORIA LEGAL
GERENCIA REGIONAL DE BIENES Y SERVICIOS,GERENCIA REGIONAL DE BIENES Y SERVICIOS
GERENCIA REGIONAL DE BIENES Y SERVICIOS CAPITAL,GERENCIA REGIONAL DE BIENES Y SERVICIOS CAPITAL
GERENCIA REGIONAL DE COMUNICACIONES Y RELACIONES PUBLICAS,GERENCIA REGIONAL DE COMUNICACIONES Y RELACIONES PUBLICAS
GERENCIA REGIONAL DE CONTRATACIONES ESPECIALES CAPITAL,GERENCIA REGIONAL DE CONTRATACIONES ESPECIALES CAPITAL
GERENCIA REGIONAL DE DE PROYECTO MAYORES LOS LLANOS,GERENCIA REGIONAL DE DE PROYECTO MAYORES LOS LLANOS
GERENCIA REGIONAL DE FINANZAS,GERENCIA REGIONAL DE FINANZAS
GERENCIA REGIONAL DE GENERACION,GERENCIA REGIONAL DE GENERACION
"GERENCIA REGIONAL DE PLANIFICACION, PRESUPUESTO, SEGUIMIENTO Y CONTROL","GERENCIA REGIONAL DE PLANIFICACION, PRESUPUESTO, SEGUIMIENTO Y CONTROL"
GERENCIA REGIONAL DE PREVENCION Y PROTECCION,GERENCIA REGIONAL DE PREVENCION Y PROTECCION
GERENCIA REGIONAL DE PREVENCIÓN Y PROTECCIÓN,GERENCIA REGIONAL DE PREVENCIÓN Y PROTECCIÓN
GERENCIA REGIONAL DE PROGRAMACION Y CONTROL LA VEGETACION,GERENCIA REGIONAL DE PROGRAMACION Y CONTROL LA VEGETACION
GERENCIA REGIONAL DE PROYECTO MAYORES LOS LLANOS,GERENCIA REGIONAL DE PROYECTO MAYORES LOS LLANOS
GERENCIA REGIONAL DE PROYECTOS ESPECIALES DEL SEN,GERENCIA REGIONAL DE PROYECTOS ESPECIALES DEL SEN
GERENCIA REGIONAL DE PROYECTOS GUAYANA,GERENCIA REGIONAL DE PROYECTOS GUAYANA
GERENCIA REGIONAL DE TRANSMISION,GERENCIA REGIONAL DE TRANSMISION
GERENCIA REGIONAL DE TRANSMISION LOS ANDES,GERENCIA REGIONAL DE TRANSMISION LOS ANDES
GERENCIA REGIONAL DE TRANSMISIÓN,GERENCIA REGIONAL DE TRANSMISIÓN
GERENCIA REGIONAL DESPACHO GUAYANA,GERENCIA REGIONAL DESPACHO GUAYANA
GERENCIA REGIONAL DIV. GENERACION LOS LLANOS,GERENCIA REGIONAL DIV. GENERACION LOS LLANOS
"GERENCIA REGIONAL LOS LLANOS/SUPERVISION ESTADAL DEL ESTADO APURE, DE COMUNICACIONES Y RELACIONES PUBLICAS","GERENCIA REGIONAL LOS LLANOS/SUPERVISION ESTADAL DEL ESTADO APURE, DE COMUNICACIONES Y RELACIONES PUBLICAS"
GERENCIA TERRITORIAL,GERENCIA TERRITORIAL
GERENCIA TERRITORIAL DE ESTADO,GERENCIA TERRITORIAL DE ESTADO
GERENCIA TERRITORIAL FUNCIONAL BOLIVAR,GERENCIA TERRITORIAL FUNCIONAL BOLIVAR
GERENCIA TERRITORIAL TACHIRA,GERENCIA TERRITORIAL TACHIRA
GERENCIA TERRITOROAL APURE,GERENCIA TERRITOROAL APURE
GERENCIA TRANSMISION YARACUY,GERENCIA TRANSMISION YARACUY
GERENERACION DISTRIBUIDA,GERENERACION DISTRIBUIDA
GERENTE ESTADAL DE BIENES Y SERVICIOS BOLIVAR,GERENTE ESTADAL DE BIENES Y SERVICIOS BOLIVAR
GERENTE ESTADAL DE BIENES Y SERVICIOS DELTA AMACURO,GERENTE ESTADAL DE BIENES Y SERVICIOS DELTA AMACURO
GERENTE ESTADAL DE COMERCIALIZACION,GERENTE ESTADAL DE COMERCIALIZACION
GERENTE GENERAL CND,GERENTE GENERAL CND
GESTI0N DE ENERGIA,GESTI0N DE ENERGIA
GESTION COMERCIAL,GESTION COMERCIAL
GESTION COMERCIAL  COMERCIAL,GESTION COMERCIAL  COMERCIAL
GESTION DE ENERGIA,GESTION DE ENERGIA
GESTION DE ENERGIA TINAQUILLO,GESTION DE ENERGIA TINAQUILLO
GESTION DE ENERGÍA,GESTION DE ENERGÍA
GESTION ESTADAL,GESTION ESTADAL
GESTIÓN DE ENERGÍA,GESTIÓN DE ENERGÍA
GG DE BIENES Y SERVICIOS,GG DE BIENES Y SERVICIOS
GNB,GNB
GOBERNACION DEL ESTADO CARABOBO,GOBERNACION DEL ESTADO CARABOBO
GPO TRAB DE OPERES TACHIRA ALTO,GPO TRAB DE OPERES TACHIRA ALTO
GPO TRAB DE OPERES TACHIRA ALTO APURE,GPO TRAB DE OPERES TACHIRA ALTO APURE
GRANDES CLIENTES,GRANDES CLIENTES
GRTR,GRTR
GRUPO DE SERV INFRAESTRUCTURA,GRUPO DE SERV INFRAESTRUCTURA
GRUPO DE SERV TRANSPORTE,GRUPO DE SERV TRANSPORTE
GRUPO DE TRABAJO DE ALMACEN,GRUPO DE TRABAJO DE ALMACEN
GRUPO DE TRABAJO DE INFRAESTRUCTURA,GRUPO DE TRABAJO DE INFRAESTRUCTURA
GRUPO DE TRABAJO PLANIFICACION Y CONTROL PROYECTOS REGION ORIENTAL,GRUPO DE TRABAJO PLANIFICACION Y CONTROL PROYECTOS REGION ORIENTAL
GRUPO DE TRABAJO SERVICIO DE TRANSPORTE,GRUPO DE TRABAJO SERVICIO DE TRANSPORTE
GRUPO DE TRABAJO SERVICIO DE TRANSPORTE APOYO A TIMOTES,GRUPO DE TRABAJO SERVICIO DE TRANSPORTE APOYO A TIMOTES
Generación,Generación
Gerencia,Gerencia
Gerencia comercial,Gerencia comercial
Gerencia estadal bienes y servicios merida,Gerencia estadal bienes y servicios merida
Gerencia territorial,Gerencia territorial
ICLAM,ICLAM
INF.TECNOLOGICA,INF.TECNOLOGICA
INFRAESTRUCTURA,INFRAESTRUCTURA
INFRAESTRUCTURA Y MOBILIARIO GUARICO,INFRAESTRUCTURA Y MOBILIARIO GUARICO
INFRAESTRUCTURA Y MOBILIARIO SUCRE,INFRAESTRUCTURA Y MOBILIARIO SUCRE
ING. Y DESARR0LL0,ING. Y DESARR0LL0
ING. Y DESARROLLO,ING. Y DESARROLLO
INGENIERIA,INGENIERIA
INGENIERIA DE PROTECCIONES,INGENIERIA DE PROTECCIONES
INGENIERÍA,INGENIERÍA
INSPECCIÓN,INSPECCIÓN
INSPECCIÓNES,INSPECCIÓNES
INSTACION DE MEDIDORES,INSTACION DE MEDIDORES
INSTALACI0NES,INSTALACI0NES
INSTALACION DE MEDIDORES,INSTALACION DE MEDIDORES
INSTALACIONES,INSTALACIONES
INSTRUMENTACION Y CONTROL,INSTRUMENTACION Y CONTROL
INVESTIGACIONES,INVESTIGACIONES
IRA ESTE,IRA ESTE
JEFE DE CENTRO,JEFE DE CENTRO
JEFE DE DIVISION CS SAN ANTONIO,JEFE DE DIVISION CS SAN ANTONIO
JEFE GRUPO TORRE EL MARQUES,JEFE GRUPO TORRE EL MARQUES
JURÍDICA,JURÍDICA
LA YAGUARA,LA YAGUARA
LECTURA,LECTURA
LECTURA Y MEDICION,LECTURA Y MEDICION
LHF,LHF
LINEAS,LINEAS
LINEAS AEREAS,LINEAS AEREAS
LINEAS DE TRANSMISION,LINEAS DE TRANSMISION
LINEAS MIRIMIRE,LINEAS MIRIMIRE
LINEAS PUEBLO NUEVO,LINEAS PUEBLO NUEVO
LINEAS SUBTERR,LINEAS SUBTERR
LINEAS SUBTERRENEA,LINEAS SUBTERRENEA
Lineas,Lineas
LÍNEAS,LÍNEAS
LÍNEAS AEREAS,LÍNEAS AEREAS
LÍNEAS AÉREAS,LÍNEAS AÉREAS
LÍNEAS OCCIDENTE,LÍNEAS OCCIDENTE
MANTENIMIENT0,MANTENIMIENT0
MANTENIMIENT0 DE REDES,MANTENIMIENT0 DE REDES
MANTENIMIENTO,MANTENIMIENTO
MANTENIMIENTO ALUMBRADO PUBLICO,MANTENIMIENTO ALUMBRADO PUBLICO
MANTENIMIENTO DE REDES,MANTENIMIENTO DE REDES
MANTENIMIENTO DE SUBESTACIONES Y LINEAS TRUJILLO,MANTENIMIENTO DE SUBESTACIONES Y LINEAS TRUJILLO
MANTENIMIENTO ENERGIZADO CAPITAL,MANTENIMIENTO ENERGIZADO CAPITAL
MANTENIMIENTO ESPECIALIZADO,MANTENIMIENTO ESPECIALIZADO
MANTENIMIENTO ESPECIALIZADO / PLANTA ELECTRICAS,MANTENIMIENTO ESPECIALIZADO / PLANTA ELECTRICAS
MANTENIMIENTO Y ATENCION DE AVERIAS ALTAGRACIA DE ORITUCO,MANTENIMIENTO Y ATENCION DE AVERIAS ALTAGRACIA DE ORITUCO
MANTENIMIENTO Y ATENCION DE AVERIAS CALABOZO,MANTENIMIENTO Y ATENCION DE AVERIAS CALABOZO
MANTENIMIENTO Y ATENCION DE AVERIAS EL SOCORRO,MANTENIMIENTO Y ATENCION DE AVERIAS EL SOCORRO
MANTENIMIENTO Y ATENCION DE AVERIAS EL SOMBRERO,MANTENIMIENTO Y ATENCION DE AVERIAS EL SOMBRERO
MANTENIMIENTO Y ATENCION DE AVERIAS ESPINO,MANTENIMIENTO Y ATENCION DE AVERIAS ESPINO
MANTENIMIENTO Y ATENCION DE AVERIAS LA PASCUA,MANTENIMIENTO Y ATENCION DE AVERIAS LA PASCUA
MANTENIMIENTO Y ATENCION DE AVERIAS SAN JUAN DE LOS MORROS,MANTENIMIENTO Y ATENCION DE AVERIAS SAN JUAN DE LOS MORROS
MANTENIMIENTO Y ATENCION DE AVERIAS ZARAZA,MANTENIMIENTO Y ATENCION DE AVERIAS ZARAZA
MASIVOS,MASIVOS
MASIVOS S/A,MASIVOS S/A
MECANICA,MECANICA
MEDICION INDIRECTA,MEDICION INDIRECTA
MEDICIÓN,MEDICIÓN
MTT0. SUBESTACI0NES 115 kV,MTT0. SUBESTACI0NES 115 kV
MTTO ESPECIALIZADO,MTTO ESPECIALIZADO
MTTO ESPECIALIZADO YARACUY,MTTO ESPECIALIZADO YARACUY
MTTO MECANICO PRL,MTTO MECANICO PRL
MTTO PLANTAS FISICAS,MTTO PLANTAS FISICAS
MTTO. LINEAS ENERGIZADAS,MTTO. LINEAS ENERGIZADAS
MTTO. SUBESTACION 765/400/230 KV “LAS VELAS”,MTTO. SUBESTACION 765/400/230 KV “LAS VELAS”
N/A,N/A
OAC ATENCION AL CUIDADANO,OAC ATENCION AL CUIDADANO
OFICINA  CORO,OFICINA  CORO
OFICINA  DABAJURO,OFICINA  DABAJURO
OFICINA  MENE MAUROA,OFICINA  MENE MAUROA
OFICINA  PUNTA CARDON,OFICINA  PUNTA CARDON
OFICINA  PUNTO FIJO,OFICINA  PUNTO FIJO
OFICINA  SAN JUAN,OFICINA  SAN JUAN
OFICINA  SAN LUIS,OFICINA  SAN LUIS
OFICINA  URUMACO,OFICINA  URUMACO
OFICINA  YARACAL,OFICINA  YARACAL
OFICINA COMERCIAL DE CARIPE,OFICINA COMERCIAL DE CARIPE
OFICINA DE GESTION ADMINISTRATIVA,OFICINA DE GESTION ADMINISTRATIVA
OFICINA DE GESTION ADMINISTRATIVA (OGA),OFICINA DE GESTION ADMINISTRATIVA (OGA)
OFICINA GESTIÓN ADMINISTRATIVA,OFICINA GESTIÓN ADMINISTRATIVA
OFICINA MENE MAUROA,OFICINA MENE MAUROA
OFICINA MIRIMIRE,OFICINA MIRIMIRE
OFICINA OPERATIVA COMERCIAL LA PASCUA,OFICINA OPERATIVA COMERCIAL LA PASCUA
OFICINA OPERATIVA COMERCIAL SAN JUAN DELOS MORROS,OFICINA OPERATIVA COMERCIAL SAN JUAN DELOS MORROS
OFICINA PUEBLO NUEVO,OFICINA PUEBLO NUEVO
OFICINA PUNTO FIJO,OFICINA PUNTO FIJO
OFICINA SANTA CRUZ,OFICINA SANTA CRUZ
OGA,OGA
OPERACIONES,OPERACIONES
OPERACIONES Y LINEA (TRONCALES),OPERACIONES Y LINEA (TRONCALES)
OPERATIVA C0MERCIAL,OPERATIVA C0MERCIAL
OPERATIVA COMERCIAL,OPERATIVA COMERCIAL
P Y P,P Y P
P&P,P&P
PARQUE EOLICO,PARQUE EOLICO
PCV,PCV
PCV/PICO Y PODA,PCV/PICO Y PODA
PENDIENTE POR ASIGNAR,PENDIENTE POR ASIGNAR
PICA Y PODA,PICA Y PODA
PICA Y PODA YARACUY,PICA Y PODA YARACUY
PLANES Y PROYECTOS REGION LOS LLANOS,PLANES Y PROYECTOS REGION LOS LLANOS
PLANIFICACION,PLANIFICACION
PLANIFICACION CONTROL DE VEGETACION,PLANIFICACION CONTROL DE VEGETACION
PLANIFICACION Y OBRAS,PLANIFICACION Y OBRAS
"PLANIFICACION, PRESUPUESTO Y SEGUIMIENTO Y CONTROL","PLANIFICACION, PRESUPUESTO Y SEGUIMIENTO Y CONTROL"
"PLANIFICACIÓN, PRESUPUESTO Y SEGUIMIENTO Y CONTROL","PLANIFICACIÓN, PRESUPUESTO Y SEGUIMIENTO Y CONTROL"
PLANTA,PLANTA
PLANTA  CORO,PLANTA  CORO
PLANTA  PUNTO FIJO,PLANTA  PUNTO FIJO
PLANTA AMPLIACION TACOA,PLANTA AMPLIACION TACOA
PLANTA AMPLIACIÓN TACOA,PLANTA AMPLIACIÓN TACOA
PLANTA CENTRO,PLANTA CENTRO
PLANTA DE AMPLIACION TACOA,PLANTA DE AMPLIACION TACOA
PLANTA DE GENERACION TERMOELECTRICA/PLANTA TACHIRA,PLANTA DE GENERACION TERMOELECTRICA/PLANTA TACHIRA
PLANTA DE RECUPERACION DE TRANSFORMADORES,PLANTA DE RECUPERACION DE TRANSFORMADORES
PLANTA DE RECUPERACIÓN DE TRANSFORMADORES,PLANTA DE RECUPERACIÓN DE TRANSFORMADORES
PLANTA DE TRANSFORMADORES C/S CHACAO,PLANTA DE TRANSFORMADORES C/S CHACAO
PLANTA FISICA,PLANTA FISICA
PLANTA FÍSICA,PLANTA FÍSICA
PLANTA GENERACION CORO,PLANTA GENERACION CORO
PLANTA INDIA URQUIA,PLANTA INDIA URQUIA
PLANTA JOSEFA CAMEJO,PLANTA JOSEFA CAMEJO
PLANTA JUAN BAUTISTA ARISMENDI,PLANTA JUAN BAUTISTA ARISMENDI
PLANTA MACAGUA,PLANTA MACAGUA
PLANTA PEDRO CAMEJO,PLANTA PEDRO CAMEJO
PLANTA PICURE,PLANTA PICURE
PLANTA QUIZANDA,PLANTA QUIZANDA
PLANTA TERMO ZULIA,PLANTA TERMO ZULIA
PLANTA TERMOELECTRICA,PLANTA TERMOELECTRICA
PLANTA TERMOELECTRICA ANTONIO JOSE DE SUCRE,PLANTA TERMOELECTRICA ANTONIO JOSE DE SUCRE
PLANTAS BARCAZAS,PLANTAS BARCAZAS
PODA,PODA
POLITICAS PÚBLICAS,POLITICAS PÚBLICAS
POOL,POOL
POR ASIGNAR,POR ASIGNAR
PRESIDENCIA,PRESIDENCIA
PRESIDENCIA CORPORACION,PRESIDENCIA CORPORACION
PRESIDENCIA DE CORPORACION,PRESIDENCIA DE CORPORACION
PRESTADA A FUNSASEN,PRESTADA A FUNSASEN
PREVENCI0N Y PR0TECCIÓN,PREVENCI0N Y PR0TECCIÓN
PREVENCION Y PROTECCION,PREVENCION Y PROTECCION
PREVENCION Y PROTECCION (PLANTA CENTRO),PREVENCION Y PROTECCION (PLANTA CENTRO)
PREVENCION Y PROTECCION TRUJILLO,PREVENCION Y PROTECCION TRUJILLO
PREVENCIÓN Y PROTECCIÓN,PREVENCIÓN Y PROTECCIÓN
PROCEDATOS,PROCEDATOS
PROCURA,PROCURA
PROGRAMACION Y CONTROL DE LA VEGETACION,PROGRAMACION Y CONTROL DE LA VEGETACION
PROGRAMACION Y CONTROL DE LA VEGETTACION,PROGRAMACION Y CONTROL DE LA VEGETTACION
PROGRAMACION Y CONTROL DE VEGETACION,PROGRAMACION Y CONTROL DE VEGETACION
PROGRAMACION Y CONTROL LA VEGETACION,PROGRAMACION Y CONTROL LA VEGETACION
PROGRAMACIÓN Y CONTROL DE VEGETACIÓN,PROGRAMACIÓN Y CONTROL DE VEGETACIÓN
PROGRAMCIÓN Y CONTROL DE VEGETACIÓN,PROGRAMCIÓN Y CONTROL DE VEGETACIÓN
PROTECCIONES,PROTECCIONES
"PROTECCIONES, MEDICION, SUPERVISION, Y CONTROL YARACUY","PROTECCIONES, MEDICION, SUPERVISION, Y CONTROL YARACUY"
PROYECTO MAYORES,PROYECTO MAYORES
PROYECTOS,PROYECTOS
PROYECTOS DEL SEN,PROYECTOS DEL SEN
PROYECTOS ESPECIALES DEL SEN,PROYECTOS ESPECIALES DEL SEN
PROYECTOS GUAYANA,PROYECTOS GUAYANA
PROYECTOS MAYORES,PROYECTOS MAYORES
PYP,PYP
Pool de choferes,Pool de choferes
Prevención y Protección,Prevención y Protección
Protección y Prevencion,Protección y Prevencion
Protección y control,Protección y control
Proyectos especiales del sen,Proyectos especiales del sen
RECLAMO,RECLAMO
RECLAMOS,RECLAMOS
REGIONALES,REGIONALES
REGIONALES /LINEAS,REGIONALES /LINEAS
S.G. CUMANA,S.G. CUMANA
S.I. CUMANA,S.I. CUMANA
S/E CANCHUCHU,S/E CANCHUCHU
S/E EL B0SQUE EL VIGIA,S/E EL B0SQUE EL VIGIA
SAL DE GUERRA ELECTRICA,SAL DE GUERRA ELECTRICA
SALA SITUACIONAL 1X10,SALA SITUACIONAL 1X10
SEGUIRIDAD CS CHACAO,SEGUIRIDAD CS CHACAO
SEGURIDAD FISICA,SEGURIDAD FISICA
SEGURIDAD FÍSICA,SEGURIDAD FÍSICA
SERDECO,SERDECO
SERV ESP DE EQUIP TRANSF OCCIDENTAL,SERV ESP DE EQUIP TRANSF OCCIDENTAL
SERVICI0S GENERALES,SERVICI0S GENERALES
SERVICIO DE TRANSPORTE,SERVICIO DE TRANSPORTE
SERVICIO MEDICO,SERVICIO MEDICO
SERVICIO TRANSPORTE,SERVICIO TRANSPORTE
SERVICIOS AERONAUTICOS,SERVICIOS AERONAUTICOS
SERVS. DE TRANSPORTE,SERVS. DE TRANSPORTE
SUB ESTACIONES,SUB ESTACIONES
SUBESTACION,SUBESTACION
SUBESTACION DIEGO DE LOZADA,SUBESTACION DIEGO DE LOZADA
SUBESTACION LA ARENOSA,SUBESTACION LA ARENOSA
SUBESTACION YARACUY,SUBESTACION YARACUY
SUBESTACIONES,SUBESTACIONES
SUPERVISOR SAN ANTONIO,SUPERVISOR SAN ANTONIO
TALENTO HUMANO,TALENTO HUMANO
TALLER,TALLER
TALLER DE INSTRUMENTO,TALLER DE INSTRUMENTO
TALLER DE TRANSFORMADORES,TALLER DE TRANSFORMADORES
TALLER DE TRASNFORMADORES CS CHACAO,TALLER DE TRASNFORMADORES CS CHACAO
TALLER HL,TALLER HL
TALLER MECANICO,TALLER MECANICO
TALLER MECANICO FLOTA,TALLER MECANICO FLOTA
TANSMISION,TANSMISION
TELECOMUNICACIONES,TELECOMUNICACIONES
TELECOMUNICACIONES E INFORMATICA CUMANA,TELECOMUNICACIONES E INFORMATICA CUMANA
TERMOCARABOBO,TERMOCARABOBO
TERMOELECTRICA,TERMOELECTRICA
TERMOZULIA,TERMOZULIA
TERMOZULIA TRANSPORTE,TERMOZULIA TRANSPORTE
TERRITORIAL,TERRITORIAL
TERRORIAL,TERRORIAL
TRANSFORMADORES,TRANSFORMADORES
TRANSFORMADORES Y REACTORES,TRANSFORMADORES Y REACTORES
TRANSFORMADORESNY REACTORES,TRANSFORMADORESNY REACTORES
TRANSMISION,TRANSMISION
TRANSMISION (PUERTO CABELLO),TRANSMISION (PUERTO CABELLO)
TRANSMISION GUARICO,TRANSMISION GUARICO
TRANSMISION GUIRIA,TRANSMISION GUIRIA
TRANSMISIÓN,TRANSMISIÓN
TRANSMISIÓN Z0NA II,TRANSMISIÓN Z0NA II
TRANSP0RTE,TRANSP0RTE
TRANSPORTE,TRANSPORTE
TRANSPORTE PRU,TRANSPORTE PRU
TRANSPORTE SUCRE,TRANSPORTE SUCRE
TRASLADO,TRASLADO
Taller mecánico,Taller mecánico
Transmisión,Transmisión
U.E. CUBA,U.E. CUBA
U.R.E.E.,U.R.E.E.
U.R.E.E. CUMANA,U.R.E.E. CUMANA
UNE CUBA,UNE CUBA
UNECUBA,UNECUBA
UNEXEE,UNEXEE
UNIDAD DE AVERIAS,UNIDAD DE AVERIAS
UNIDAD DE RECAUDACION,UNIDAD DE RECAUDACION
UNIVERSIDAD NACIONAL EXPERIMENTAL DE ESPECIALIDADES ELECTRICAS,UNIVERSIDAD NACIONAL EXPERIMENTAL DE ESPECIALIDADES ELECTRICAS
URE,URE
UREE,UREE
USUARIOS CORPORATIVOS,USUARIOS CORPORATIVOS
USUARIOS MASIVOS S/C,USUARIOS MASIVOS S/C
VARGAS,VARGAS
VICEPRESIDENCIA,VICEPRESIDENCIA
VICEPRESIDENCIA CORPORACION,VICEPRESIDENCIA CORPORACION
VICEPRESIDENCIA EJECUTIVA,VICEPRESIDENCIA EJECUTIVA
VIETVEN ILUMINACIONES,VIETVEN ILUMINACIONES
funsasen,funsasen
CORPOELEC INDUSTRIAL,CORPORACION INDUSTRIAL
CORPOELEC INDUSTRIAL CARORA,CORPORACION INDUSTRIAL CARORA
PRESIDENCIA CORPOELEC,PRESIDENCIA DE LA CORPORACION
PRESIDENCIA DE CORPOELEC,PRESIDENCIA DE LA CORPORACION
VICEPRESIDENCIA CORPOELEC,VICEPRESIDENCIA DE LA CORPORACION
COORDINACION ESTADAL TRANSMISION,COORDINACION ESTADAL TRANSMISION
CS LA FRIA,CS LA FRIA

